Date,Price
2021-01-22,26000.0
2021-01-25,26000.0
2021-01-26,26000.0
2021-01-27,26000.0
2021-01-28,26000.0
2021-01-29,
2021-02-01,
2021-02-02,26000.0
2021-02-03,26000.0
2021-02-04,26000.0
2021-02-05,26000.0
2021-02-08,22000.0
2021-02-09,22000.0
2021-02-10,26000.0
2021-02-11,35000.0
2021-02-12,
2021-02-15,30000.0
2021-02-16,30000.0
2021-02-17,
2021-02-18,32000.0
2021-02-19,
2021-02-22,22000.0
2021-02-23,35000.0
2021-02-24,34000.0
2021-02-25,34000.0
2021-02-26,34000.0
2021-03-01,35000.0
2021-03-02,35000.0
2021-03-03,35000.0
2021-03-04,35000.0
2021-03-05,35000.0
2021-03-08,35000.0
2021-03-09,35000.0
2021-03-10,35000.0
2021-03-11,
2021-03-12,30000.0
2021-03-15,30000.0
2021-03-16,30000.0
2021-03-17,35000.0
2021-03-18,35000.0
2021-03-19,35000.0
2021-03-22,32000.0
2021-03-23,32000.0
2021-03-24,32000.0
2021-03-25,32000.0
2021-03-26,32000.0
2021-03-29,32000.0
2021-03-30,30000.0
2021-03-31,30000.0
2021-04-01,30000.0
2021-04-02,
2021-04-05,27000.0
2021-04-06,
2021-04-07,27000.0
2021-04-08,27000.0
2021-04-09,26000.0
2021-04-12,25000.0
2021-04-13,25000.0
2021-04-14,25000.0
2021-04-15,25000.0
2021-04-16,27000.0
2021-04-19,28000.0
2021-04-20,28000.0
2021-04-21,28000.0
2021-04-22,28000.0
2021-04-23,26000.0
2021-04-26,26000.0
2021-04-27,26000.0
2021-04-28,24000.0
2021-04-29,
2021-04-30,24000.0
2021-05-03,24000.0
2021-05-04,24000.0
2021-05-05,28000.0
2021-05-06,
2021-05-07,28000.0
2021-05-10,30000.0
2021-05-11,30000.0
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-17,32000.0
2021-05-18,32000.0
2021-05-19,32000.0
2021-05-20,32000.0
2021-05-21,30000.0
2021-05-24,30000.0
2021-05-25,30000.0
2021-05-26,
2021-05-27,
2021-05-28,28000.0
2021-05-31,28000.0
2021-06-01,
2021-06-02,28000.0
2021-06-03,28000.0
2021-06-04,28000.0
2021-06-07,28000.0
2021-06-08,30000.0
2021-06-09,30000.0
2021-06-10,30000.0
2021-06-11,30000.0
2021-06-14,30000.0
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,
2021-09-10,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-11,
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-11-01,
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-15,21000.0
2021-11-16,21000.0
2021-11-17,
2021-11-18,19000.0
2021-11-19,20000.0
2021-11-22,20000.0
2021-11-23,
2021-11-24,20000.0
2021-11-25,20000.0
2021-11-26,20000.0
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,17000.0
2021-12-06,23000.0
2021-12-07,
2021-12-08,
2021-12-09,21000.0
2021-12-10,24000.0
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-10,
2022-01-11,30000.0
2022-01-12,30000.0
2022-01-13,
2022-01-14,30000.0
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-24,
2022-01-25,25000.0
2022-01-26,25000.0
2022-01-27,
2022-01-28,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,25000.0
2022-02-04,
2022-02-07,36000.0
2022-02-08,32000.0
2022-02-09,32000.0
2022-02-10,32000.0
2022-02-11,
2022-02-14,38000.0
2022-02-15,
2022-02-16,
2022-02-17,40000.0
2022-02-18,
2022-02-21,
2022-02-22,38000.0
2022-02-23,38000.0
2022-02-24,35000.0
2022-02-25,
2022-02-28,
2022-03-01,
2022-03-02,37000.0
2022-03-03,
2022-03-04,35000.0
2022-03-07,
2022-03-08,
2022-03-09,40000.0
2022-03-10,36000.0
2022-03-11,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,30000.0
2022-03-21,45000.0
2022-03-22,30000.0
2022-03-23,28000.0
2022-03-24,30000.0
2022-03-25,
2022-03-28,
2022-03-29,
2022-03-30,25000.0
2022-03-31,28000.0
2022-04-01,26000.0
2022-04-04,25000.0
2022-04-05,29000.0
2022-04-06,25000.0
2022-04-07,30000.0
2022-04-08,30000.0
2022-04-11,26000.0
2022-04-12,28000.0
2022-04-13,28000.0
2022-04-14,29000.0
2022-04-15,
2022-04-18,28000.0
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-09,38000.0
2022-05-10,38000.0
2022-05-11,35000.0
2022-05-12,35000.0
2022-05-13,38000.0
2022-05-16,
2022-05-17,
2022-05-18,
2022-05-19,
2022-05-20,40000.0
2022-05-23,43000.0
2022-05-24,43000.0
2022-05-25,45000.0
2022-05-26,
2022-05-27,45000.0
2022-05-30,45000.0
2022-05-31,43000.0
2022-06-01,
2022-06-02,45000.0
2022-06-03,
2022-06-06,48000.0
2022-06-07,48000.0
2022-06-08,50000.0
2022-06-09,50000.0
2022-06-10,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-20,55000.0
2022-06-21,
2022-06-22,55000.0
2022-06-23,50000.0
2022-06-24,53000.0
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-04,65000.0
2022-07-05,65000.0
2022-07-06,67000.0
2022-07-07,67000.0
2022-07-08,
2022-07-11,
2022-07-12,
2022-07-13,
2022-07-14,67000.0
2022-07-15,65000.0
2022-07-18,60000.0
2022-07-19,60000.0
2022-07-20,55000.0
2022-07-21,53000.0
2022-07-22,
2022-07-25,45000.0
2022-07-26,
2022-07-27,45000.0
2022-07-28,40000.0
2022-07-29,40000.0
2022-08-01,35000.0
2022-08-02,35000.0
2022-08-03,39000.0
2022-08-04,39000.0
2022-08-05,
2022-08-08,35000.0
2022-08-09,35000.0
2022-08-10,33000.0
2022-08-11,33000.0
2022-08-12,33000.0
2022-08-15,32000.0
2022-08-16,32000.0
2022-08-17,
2022-08-18,32000.0
2022-08-19,32000.0
2022-08-22,
2022-08-23,30000.0
2022-08-24,30000.0
2022-08-25,30000.0
2022-08-26,30000.0
2022-08-29,28000.0
2022-08-30,28000.0
2022-08-31,28000.0
2022-09-01,30000.0
2022-09-02,30000.0
2022-09-05,28000.0
2022-09-06,32000.0
